Вопрос;Эталонный ответ преподавателя;Ответ студента;Оценка
Какие проблемы возникают при использовании мониторинг больших данных?;Мониторинг больших данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Технологии позволяют улучшать качество аналитики, находить закономерности и предсказывать события.;4
Что такое schema evolution в Big Data?;Возможность изменения схемы данных без потери совместимости с существующими данными;Механизм позволяющий изменять структуру данных сохраняя совместимость со старыми версиями;5
Что такое Apache Hive?;Система управления данными в Hadoop, предоставляющая SQL-подобный язык запросов (HiveQL) для обработки структурированных данных в распределенном хранилище HDFS, с преобразованием запросов в MapReduce или Tez jobs.;Какая-то система из экосистемы Hadoop для данных.;2
Меры изменчивости;Дисперсия, стандартное отклонение, размах, межквартильный размах - показатели разброса данных;Дисперсия, стандартное отклонение, размах описывают вариативность;3
Что такое уровень значимости;Уровень значимости ? представляет вероятность совершить ошибку первого рода - отвергнуть верную нулевую гипотезу, обычно устанавливается 0.05;Статистический параметр ?, определяющий вероятность отвергнуть нулевую гипотезу когда она верна, устанавливает порог для p-value при принятии статистических решений;5
Что такое grid search?;Метод подбора гиперпараметров через exhaustive search по заранее заданной сетке значений.;Алгоритм поиска оптимальных гиперпараметров. Проверяет все комбинации параметров из заданной сетки для нахождения лучших.;4
Характерные черты безмасштабных сетей, какова их связь с сетями тесного мира?;Безмасштабные сети имеют степенное распределение степеней вершин (P(k)~k^-?), содержат хабы. Сети тесного мира характеризуются малой длиной пути и высоким коэффициентом кластеризации. Обе модели встречаются в реальных системах.;Безмасштабные сети имеют узлы-лидеры, тесные миры — короткие пути.;2
Какие признаки создавать для временных рядов при feature engineering?;Лаги, скользящие статистики (mean, std), временные характеристики (час, день недели), фичи из Fourier transform, difference.;Лаги целевой переменной, скользящие средние и стандартные отклонения, сезонные фичи (час, день недели, месяц), признаки тренда, разности ряда. Также фичи из domain knowledge.;5
Какие навыки необходимы специалисту для работы с рекомендательные системы?;Рекомендательные системы используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Рекомендательные системы нужно только программистам.;2
Уровень статистической достоверности;Вероятность того, что результат не случаен. Не вероятность ошибки, а доверие к результату;Это точность вычислений;2
Шаги построения дендрограммы;Построение дендрограммы включает вычисление матрицы расстояний между объектами, применение агломеративного алгоритма кластеризации и визуализацию иерархической структуры;Создание матрицы расстояний, выбор меры близости между кластерами, итеративное объединение кластеров, визуализация дендрограммы с высотой representing расстояние слияния;4
Что такое ансамблевые методы?;Комбинация нескольких моделей для улучшения прогнозной способности и устойчивости.;Методы, которые объединяют несколько простых моделей в одну сильную. Bagging (как Random Forest) уменьшает дисперсию, Boosting (как Gradient Boosting) уменьшает смещение, а Stacking комбинирует разные типы моделей.;5
Что такое word2vec?;Алгоритм для создания векторных представлений слов на основе их контекста.;Word2vec - это группа моделей, которые обучают векторные представления слов таким образом, что семантически близкие слова имеют близкие векторы, используя либо skip-gram, либо CBOW архитектуры.;5
Понятие регрессии. Как используется этот вид анализа?;Регрессия — статистический метод, моделирующий зависимость целевой переменной Y от факторов X1, X2,..., Xn. Применяется для прогнозирования и анализа влияния факторов.;Регрессионный анализ ищет зависимость между признаками и результатом.;3
Мотивация происхождения NoSQL;NoSQL базы возникли из-за необходимости обработки неструктурированных данных и горизонтального масштабирования систем;Потребность в масштабируемости и гибкости;3
Что понимают под переобучением модели?;Переобучение — это ситуация, когда модель слишком точно подстраивается под обучающую выборку, теряя способность обобщать знания на новые данные.;Модель подстраивается под обучающие данные, и результаты на тесте хуже.;4
Как внедрение ETL-процессы влияет на процессы в организациях?;Etl-процессы применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;4
Интегральные метрики качества;К интегральным метрикам относятся ROC-AUC, Precision-Recall AUC, F1-score и R?, агрегирующие различные аспекты качества;Общие метрики оценки;2
Какие подходы использовать для обработки hierarchical данных в SQL?;Recursive CTEs, hierarchical queries, nested sets model, adjacency list, materialized paths, использование специализированных расширений.;Способы работы с древовидными структурами в реляционных БД.;3
Назовите критерии качества кластеризации и поясните их значение и когда они используются.;Критерии качества: внутрикластерная дисперсия (SSW), межкластерная дисперсия (SSB), индекс силуэта, индекс Дэвиса-Болдина, индекс Калински-Харабаса. Применяются для оценки плотности и разделимости кластеров.;Критерии качества — это гипотезы в анализе данных.;2
В каких пропорциях разделять данные перед обучением;70-80% обучение, 15-20% валидация, 15-20% тестирование. Зависит от объема данных;70% на обучение, 30% на тестирование. Иногда добавляют валидационную выборку;3
Что такое регрессионный анализ;Статистический метод моделирования зависимостей между переменными для прогнозирования численных значений;Анализ связей между переменными для построения прогнозных моделей;3
В чем преимущества применения NLP по сравнению с традиционными методами?;Nlp помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Определение термина 'большие данные', источники получения больших данных.;Большие данные — это совокупность структурированных и неструктурированных данных значительного объема, скорости и разнообразия, требующих специализированных методов хранения и анализа. Источники: сенсоры IoT, социальные сети, логи систем, транзакционные данные, мультимедиа.;Большие данные — это все данные, которые есть в интернете. Источники — сайты и новости.;2
Что такое обработка данных и какие задачи оно решает?;Обработка данных помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Обработка данных применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;4
Где применяется большие данные в промышленности и бизнесе?;Большие данные применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;4
Свойства описательных статистик;Меры центральной тенденции, меры изменчивости и показатели формы распределения данных;Включают меры центральной тенденции, меры изменчивости и характеристики формы распределения;5
Что такое машинное обучение?;Машинное обучение — это раздел искусственного интеллекта, изучающий методы построения алгоритмов, способных самостоятельно выявлять закономерности в данных и принимать решения без явного программирования.;Это когда компьютер может учиться на примерах.;3
Классификация методов Data Mining;Классификация, кластеризация, регрессия, ассоциативные правила, анализ последовательностей;Методы для анализа данных: классификация, кластеризация;2
Как обеспечить воспроизводимость экспериментов в ML и data science?;Version control для кода и данных, фиксация seed значений, контейнеризация (Docker), detailed logging, MLflow для отслеживания экспериментов.;Версионирование кода и данных, фиксация случайных seed'ов, контейнеризация окружения, детальное логирование параметров и результатов экспериментов.;4
Где применяется машинное обучение в промышленности и бизнесе?;Машинное обучение применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Используется для прогнозов и анализа информации.;3
Требования ACID. CAP-теорема, BASE архитектура: как и к каким хранилищам данных эти понятия применяются.;ACID (Atomicity, Consistency, Isolation, Durability) — свойства транзакционных систем (OLTP). CAP-теорема утверждает невозможность одновременного обеспечения согласованности (C), доступности (A) и устойчивости к разделению (P). BASE (Basically Available, Soft-state, Eventually consistent) описывает принципы NoSQL систем.;ACID — это принципы транзакций, CAP — баланс между согласованностью и доступностью, BASE — концепция NoSQL, гарантирующая eventual consistency.;5
Какие навыки необходимы специалисту для работы с модели прогнозирования?;Модели прогнозирования используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Это просто работа с таблицами. Не очень полезно.;2
Какие методы feature selection используются в машинном обучении?;Методы отбора признаков включают фильтры (correlation), встроенные методы (L1-регуляризация) и методы-обертки (recursive feature elimination);Отбор наиболее значимых признаков;2
Как нейронные сети применяется для автоматизации рутинных процессов?;Нейронные сети помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Критерии качества кластеризации;К критериям качества относятся Silhouette score, Davies-Bouldin index и Calinski-Harabasz index;Метрики оценки кластеров;2
Как выполняется преобразование данных и зачем нужна их очистка?;Преобразование включает нормализацию, агрегацию, обогащение. Очистка нужна для удаления шума, исправления ошибок, обработки пропусков для повышения качества моделей.;Данные преобразуют через масштабирование, агрегирование, создание признаков. Очистка удаляет аномалии, исправляет ошибки, обрабатывает пропуски для улучшения качества анализа.;5
Какие метрики используются для оценки моделей в задачах мультиклассовой классификации?;Для мультиклассовой классификации используются accuracy, macro/micro averaged precision/recall, F1-score и confusion matrix для детального анализа ошибок;Показатели для многоклассовой классификации;2
Метрики качества для моделей регрессии;Для оценки регрессионных моделей используются RMSE (среднеквадратичная ошибка), MAE (средняя абсолютная ошибка), MAPE (средняя абсолютная процентная ошибка) и R? (коэффициент детерминации), которые измеряют различные аспекты точности предсказаний;Различные показатели позволяют оценить, насколько хорошо регрессионная модель предсказывает числовые значения;2
Что такое YARN?;Компонент Hadoop для управления ресурсами кластера и планирования задач. Отделяет функции управления от модели обработки данных.;Менеджер ресурсов Hadoop. Отвечает за распределение памяти и CPU между задачами в кластере.;4
Что такое Apache Airflow?;Платформа для оркестрации и мониторинга рабочих процессов данных.;Apache Airflow - это open-source платформа для программирования, планирования и мониторинга рабочих процессов данных через направленные ациклические графы (DAGs), обеспечивающая надежное выполнение ETL процессов и пайплайнов данных.;5
Какие риски связаны с применением data warehouses?;Технологии data warehouses позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Data warehouses нужно только программистам, обычным компаниям оно бесполезно.;2
Что такое data drift?;Изменение распределения входных данных со временем, ухудшающее качество модели.;Data drift возникает когда статистические свойства входных данных модели меняются со временем, приводя к degradation производительности модели, что требует мониторинга и переобучения.;5
Как работает технология Data Virtualization и какие проблемы она решает?;Предоставляет unified view данных без физического перемещения. Решает проблемы data silos, уменьшает latency доступа, упрощает data governance в распределенных системах.;Способ работы с данными из разных мест без их перемещения.;2
Какие реальные примеры использования масштабируемые системы существуют?;Технологии масштабируемые системы позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Масштабируемые системы широко применяется в промышленности, здравоохранении, финансах и государственных системах. Позволяет анализировать большие массивы данных, строить точные модели и улучшать эффективность процессов.;5
Генеральная совокупность и выборка;Генеральная совокупность включает все объекты исследования, выборка является ее представительной частью;Совокупность объектов и выборка;4
Что такое большие данные и откуда они поступают?;Большие данные - огромные объемы структурированных и неструктурированных данных, которые невозможно обработать традиционными методами. Источники: соцсети, IoT устройства, транзакционные системы, сенсоры.;Много информации из разных мест.;2
Метрики качества для компьютерного зрения;"Accuracy, Precision, Recall, F1-score для классификации; mAP, IoU для детекции; Dice coefficient для сегментации";Метрики оценки в компьютерном зрении;4
Что такое Apache ZooKeeper?;Централизованный сервис для поддержания конфигурационной информации, именования, распределенной синхронизации и предоставления групповых сервисов в распределенных системах.;Инструмент для управления распределенными системами. Используется для координации сервисов.;3
Что такое MLOps;MLOps — это практика внедрения и поддержки ML моделей в production через автоматизацию, мониторинг и управление жизненным циклом моделей.;Набор практик для автоматизации развертывания, мониторинга и поддержки ML моделей в production;5
Как работает механизм Attention в трансформерах и почему он революционен для NLP?;Взвешенная агрегация информации из всех позиций последовательности. Революционен благодаря ability улавливать long-range зависимости и параллелизации в отличие от RNN.;Способ определения важности разных элементов в данных. Изменил NLP позволив лучше обрабатывать длинные тексты и сложные языковые зависимости.;3
Что такое DataOps;DataOps — это методология управления данными, которая объединяет DevOps практики с процессами работы с данными для ускорения и повышения качества аналитики.;Это подход к автоматизации процессов работы с данными с использованием практик DevOps;4
Что такое большие данные и какие задачи оно решает?;Большие данные используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;5
Что такое кросс-валидация?;Метод оценки модели, при котором данные разбиваются на k частей, модель обучается на k-1 частях и проверяется на оставшейся части, процесс повторяется k раз.;Кросс-валидация - это техника, при которой данные многократно разбиваются на обучающую и тестовую выборки, что позволяет получить более надежную оценку качества модели и уменьшить зависимость от конкретного разбиения данных.;5
Что такое Big Data и каковы её основные характеристики?;Big Data — это совокупность технологий и подходов, направленных на обработку больших объёмов данных, которые не поддаются традиционным методам анализа. Основные характеристики: Volume (объём), Velocity (скорость), Variety (разнообразие), Veracity (достоверность), Value (ценность).;Big Data — это большие объёмы данных, которые быстро создаются и обрабатываются с помощью современных технологий.;5
Требования ACID. CAP?теорема, BASE?архитектура;ACID - гарантии целостности транзакций, CAP - невозможность одновременно обеспечить согласованность, доступность и устойчивость к разделению;ACID (атомарность, согласованность, изоляция, долговечность) для транзакций. CAP-теорема: нельзя одновременно обеспечить согласованность, доступность и устойчивость к разделению;4
Что такое DBSCAN?;Алгоритм кластеризации на основе плотности, способный находить кластеры произвольной формы и выбросы.;Алгоритм кластеризации, работающий на основе плотности точек. Находит группы разной формы и выбросы без задания количества кластеров.;4
Мотивация происхождения NoSQL;Необходимость работы с неструктурированными данными и горизонтального масштабирования систем;Потребность в обработке неструктурированных данных и горизонтальном масштабировании;5
Как проектировать систему для обработки геопространственных данных в реальном времени?;Использовать специализированные БД (PostGIS), пространственные индексы (R-tree, Quad-tree), распределенные системы для масштабирования, streaming frameworks для real-time обработки.;Система для работы с данными о местоположениях в реальном времени.;2
Как работает метод главных компонент (PCA) для снижения размерности?;PCA находит новые ортогональные оси, которые максимизируют дисперсию данных, проецируя их в пространство меньшей размерности с сохранением максимальной информации;Нахождение главных компонент для сокращения размерности данных;4
Разница описательных и предсказательных задач;Описательные задачи анализируют существующие данные, предсказательные строят модели для прогнозирования;Разные типы задач анализа данных;4
Почему организации переходят на технологии предобработка данных?;Предобработка данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Предобработка данных нужно только программистам, обычным компаниям оно бесполезно.;2
Когда использовать Spark вместо Pandas для обработки данных?;Spark когда данные не помещаются в память одного компьютера или нужна распределенная обработка. Pandas для данных, которые fit in memory и не требуют распределенных вычислений.;Spark для очень больших данных, Pandas для обычных размеров. Выбор зависит от объема данных и доступных ресурсов.;3
Где применяется NLP в промышленности и бизнесе?;Nlp применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Nlp применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;5
Перечислить стадии разработки систем машинного обучения;Сделать модель.;Нужно что-то обучить.;2
Как работает алгоритм DBSCAN для кластеризации?;DBSCAN группирует точки в кластеры на основе плотности, выделяя core points, border points и noise, не требуя предварительного задания числа кластеров;Группировка данных на основе плотности распределения;4
Что такое DataOps;DataOps — это методология управления данными, которая объединяет DevOps практики с процессами работы с данными для ускорения и повышения качества аналитики.;Это про управление данными;2
Какие реальные кейсы демонстрируют эффективность машинное обучение?;Машинное обучение помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;5
Как проектировать data pipeline для обработки данных с разной latency требованиями?;Lambda architecture, multi-tier processing, priority queues, separate pipelines для real-time и batch, resource allocation based on SLA.;Пайплайн для данных с разной срочностью обработки.;2
Какие этапы включает проект, основанный на использовании анализ данных?;Анализ данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Анализ данных применяется в бизнесе и иногда в науке для анализа данных.;3
Какие этапы включает проект, основанный на использовании NLP?;Nlp применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Как модели прогнозирования используется в научных исследованиях?;Модели прогнозирования используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Модели прогнозирования применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;5
Меры качества для языковых моделей;Perplexity, BLEU, ROUGE - основные метрики оценки качества языковых моделей и переводов;Perplexity оценивает модель, BLEU и ROUGE - качество генерации текста;4
Как оптимизировать запросы к данным с временными рядами для аналитических нагрузок?;Партиционирование по времени, индексы по временным меткам, материализованные представления для агрегатов, сжатие временных данных, использование специализированных TSDB.;Методы ускорения запросов к данным с временными метками.;2
Какие основные инструменты и технологии используются для работы с предиктивная аналитика?;Предиктивная аналитика применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Предиктивная аналитика применяется в бизнесе и иногда в науке для анализа данных.;3
Что такое sharding в базах данных?;Горизонтальное разделение данных на основе ключа sharding для распределения нагрузки;Разделение базы данных на меньшие части (shards) для распределения нагрузки по разным серверам;5
Обучение с учителем и без учителя. Приведите примеры методов.;Supervised learning использует размеченные данные, примеры: линейная регрессия, логистическая регрессия, SVM. Unsupervised learning использует неразмеченные данные, примеры: k-means, PCA, иерархическая кластеризация.;Обучение с учителем — это SVM, а без учителя — k-means.;5
Какие риски связаны с применением ETL-пайплайны?;Etl-пайплайны помогает компаниям анализировать пользовательское поведение, выявлять закономерности и строить точные модели. Применяется в цифровых сервисах, рекламе и смарт?системах.;Etl-пайплайны обеспечивает анализ потоковых данных, улучшает прогнозирование, помогает автоматизировать процессы и повышает точность аналитических моделей.;5
Свойства описательных статистик;Меры центральной тенденции, изменчивости и формы распределения данных;Свойства включают меры центральной тенденции и изменчивости;5
Разница описательных и предсказательных задач;Описательные задачи анализируют существующие данные, предсказательные строят модели для прогнозирования;Описательные - что было, предсказательные - что будет;3
Как нейронные сети используется в научных исследованиях?;Нейронные сети помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется для прогнозов и анализа информации.;3
Основные задачи Data Analysis;К основным задачам относятся описательная аналитика, диагностика проблем, прогнозирование и прескриптивная аналитика;Разные типы аналитических задач;4
Как глубокое обучение помогает в анализе больших объемов данных?;Глубокое обучение применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;4
Какие компании активно используют NLP и зачем?;Nlp используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Помогает работать с данными и строить модели.;3
